,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
79,J587-S_flow,2.713206163510556,2.7126727643620043,2.7129364124537374,2.696265047365466,2.696528495209901,2.713206163510556,J587-S,"('Downtown', 'Southside, Drains to Harbor')"
80,J592-S_flow,2.1266321372950423,2.12663583801477,2.12669756119848,2.1130716851950475,2.166380560711044,2.180046683244524,J592-S,"('Dunbar-Broadway', 'Canal Street Creek')"
81,J5-S_flow,1.5302736131693873,1.5302531827937524,1.5302632861098602,1.5195567792838254,1.5196900996144591,1.5303999036590537,J5-S,"('Canton', 'Northside, Drains to Harbor')"
82,J609-S_flow,3.635736372137202,3.635738776780974,3.635737678306705,3.611683277424674,3.611433583243976,3.635490565390232,J609-S,"('Dunbar-Broadway', 'Canal Street Creek')"
83,J60-S_flow,2.4067239284725472,2.4065132759832504,2.4066173971221243,2.390259272175567,2.390362368741983,2.4067239284725472,J60-S,"('Downtown', 'Southside, Drains to Harbor')"
84,J619-S_flow,3.7408268666375526,3.740536052404547,3.740679795824065,3.715721341137917,3.7158636771998106,3.7408268666375526,J619-S,"('Dunbar-Broadway', 'Canal Street Creek')"
85,J620-S_flow,10.538540911495872,10.386571505451494,10.74413754722316,10.08833124540672,12.324653914597077,13.10384088694789,J620-S,"('Johnston Square', 'Harris Creek')"
86,J624-S_flow,10.819616937143604,10.649530996070316,11.025652513940704,10.36525479960407,12.620033441585225,13.40362891365326,J624-S,"('Johnston Square', 'Harris Creek')"
87,J62-S_flow,2.350834223053867,2.350771104234495,2.350830548859243,2.335048970267196,2.335367219861429,2.351089844498492,J62-S,"('Downtown', 'Southside, Drains to Harbor')"
88,J632-S_flow,2.1713403428370666,2.171179820537445,2.171259163367464,2.1572840635526727,2.157362538952808,2.1713403428370666,J632-S,"('Eager Park', 'Canal Street Creek')"
89,J637-S_flow,7.607750592709747,7.355422942200703,7.8454242478147345,7.03637728902496,4.896599802905906,5.242649449082591,J637-S,"('Eager Park', 'Canal Street Creek')"
